Training Start Time: 2024-06-26 20:58:06.941044
Config: {'neurons': [382, 374], 'batch_size': 13, 'val_split': 0.11304675508257456}, MAE: 0.0002599706273478064
Config: {'neurons': [384, 376], 'batch_size': 16, 'val_split': 0.14899777714021412}, MAE: 0.0037570487283491915
Config: {'neurons': [386, 378], 'batch_size': 32, 'val_split': 0.03924312005806996}, MAE: 7.301064338171456e-05
Config: {'neurons': [388, 380], 'batch_size': 13, 'val_split': 0.012733108738924498}, MAE: 0.00020336889016782795
Config: {'neurons': [390, 382], 'batch_size': 19, 'val_split': 0.11367653867509958}, MAE: 0.0017008928257495424
Config: {'neurons': [392, 384], 'batch_size': 26, 'val_split': 0.012446436834248203}, MAE: 0.00016639956067015155
Config: {'neurons': [394, 386], 'batch_size': 10, 'val_split': 0.14661048037875055}, MAE: 0.00029486383165202597
Config: {'neurons': [396, 388], 'batch_size': 13, 'val_split': 0.10488979837304052}, MAE: 0.004419757017472199
Config: {'neurons': [398, 390], 'batch_size': 19, 'val_split': 0.13679255975082222}, MAE: 0.000623931524847901
Config: {'neurons': [400, 392], 'batch_size': 15, 'val_split': 0.0800022471263115}, MAE: 0.00044104090003430204
Config: {'neurons': [402, 394], 'batch_size': 28, 'val_split': 0.09642735304185085}, MAE: 0.0016764708940517161
Config: {'neurons': [404, 396], 'batch_size': 27, 'val_split': 0.1991397492147607}, MAE: 0.00010389683346776228
Config: {'neurons': [406, 398], 'batch_size': 21, 'val_split': 0.06859385817902428}, MAE: 0.0001905116032265594
Config: {'neurons': [408, 400], 'batch_size': 21, 'val_split': 0.01958242512378111}, MAE: 0.003915094974938249
Config: {'neurons': [410, 402], 'batch_size': 13, 'val_split': 0.015919962540085264}, MAE: 0.0013229430668819024
Config: {'neurons': [412, 404], 'batch_size': 33, 'val_split': 0.14017362063922323}, MAE: 0.00016095557439587421
Config: {'neurons': [414, 406], 'batch_size': 18, 'val_split': 0.14397603570444345}, MAE: 0.005004302125199776
Config: {'neurons': [416, 408], 'batch_size': 25, 'val_split': 0.16062259873578852}, MAE: 0.00022883119500119188
